Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartmanage[++],156,0,1600.0,1672.7542804031914,30.835116995149292,2613.5995160002494,21.0,2.6382736232371373,0.0,1700,1800,1900,1900,2400,2500,2600,2600,2600,2600,2600
POST,/cartmanage[--],151,0,1600.0,1664.2897188803604,16.34864399966318,2578.630901989527,21.0,2.5537135712103063,0.0,1600,1800,1900,2000,2400,2500,2500,2500,2600,2600,2600
POST,/load,221,0,1600.0,1595.2448455469469,54.64351699629333,2640.0306849973276,1342.9185520361991,3.7375542995859448,0.0,1600,1700,1800,1800,2400,2400,2500,2600,2600,2600,2600
POST,/load[type 1],50,0,830.0,883.1349587198929,82.04787700378802,1800.3004380007042,999.0,0.8456005202683132,0.0,860,1400,1400,1600,1700,1700,1800,1800,1800,1800,1800
POST,/load[type 2],50,0,1100.0,959.300051680184,58.14043199643493,1825.4978629993275,1517.0,0.8456005202683132,0.0,1300,1500,1600,1700,1800,1800,1800,1800,1800,1800,1800
POST,/load[type 3],50,0,1300.0,1013.4324638399994,78.61810500617139,1822.228961988003,1589.0,0.8456005202683132,0.0,1300,1600,1700,1700,1800,1800,1800,1800,1800,1800,1800
POST,/login,50,0,4,4.720111120550428,3.118141001323238,10.782402998302132,21.0,0.8456005202683132,0.0,4,5,5,5,6,8,11,11,11,11,11
POST,/order,70,0,1600.0,1530.7649668439158,195.64005099528003,2640.001474006567,21.0,1.1838407283756385,0.0,1600,1700,1800,1800,2300,2400,2600,2600,2600,2600,2600
POST,/register,50,0,600.0,808.8450574193848,82.15922700765077,1756.3270230020862,21.0,0.8456005202683132,0.0,830,1100,1300,1400,1600,1700,1800,1800,1800,1800,1800
POST,/update[cart add],165,0,1700.0,1687.5607215692678,68.80868900043424,2816.194083003211,21.0,2.790481716885434,0.0,1700,1700,1900,1900,2400,2500,2600,2700,2800,2800,2800
POST,/update[wishlist add],160,0,1600.0,1648.7153301129183,113.18484900402837,2693.4056600002805,21.0,2.7059216648586024,0.0,1600,1800,1900,2100,2500,2500,2600,2600,2700,2700,2700
POST,/update[wishlist remove],154,0,1700.0,1674.0547314616201,58.58232799801044,2703.830963000655,21.0,2.604449602426405,0.0,1700,1800,1900,2200,2500,2600,2600,2700,2700,2700,2700
,Aggregated,1327,0,1600.0,1473.6082189147467,3.118141001323238,2816.194083003211,393.45214770158253,22.442237807921035,0.0,1600,1700,1800,1800,2400,2500,2600,2600,2700,2800,2800
