Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1756678199,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1756678200,5,,Aggregated,0.000000,0.000000,110,120,130,130,140,160,170,170,170,170,170,36,0,110.0,94.48003127747344,4.732125002192333,172.35981600242667,623.9444444444445
1756678201,10,,Aggregated,0.000000,0.000000,120,140,150,160,170,240,260,260,260,260,260,72,0,120.0,109.78759016648434,3.118141001323238,258.0623510002624,659.3055555555555
1756678202,15,,Aggregated,27.000000,0.000000,140,160,230,240,260,270,280,310,330,330,330,103,0,140.0,138.60625257301348,3.118141001323238,326.250145008089,682.3980582524272
1756678203,20,,Aggregated,27.000000,0.000000,160,240,260,280,400,440,480,480,520,520,520,133,0,160.0,184.3384501056639,3.118141001323238,517.7220329933334,616.593984962406
1756678204,25,,Aggregated,29.666667,0.000000,170,260,310,390,460,520,550,600,600,600,600,159,0,170.0,210.45326945297245,3.118141001323238,602.4783319880953,617.9937106918239
1756678205,30,,Aggregated,30.000000,0.000000,220,310,420,480,690,770,880,940,950,950,950,188,0,220.0,275.5109777502552,3.118141001323238,949.7837310045725,595.2978723404256
1756678206,35,,Aggregated,30.000000,0.000000,250,410,530,670,880,990,1100,1100,1100,1100,1100,210,0,240.0,347.4785929145929,3.118141001323238,1096.095125991269,618.2190476190476
1756678207,40,,Aggregated,29.166667,0.000000,260,480,710,830,1100,1100,1300,1300,1300,1300,1300,236,0,260.0,412.19050445782824,3.118141001323238,1307.9140930058202,604.1101694915254
1756678208,45,,Aggregated,28.714286,0.000000,330,690,940,1100,1300,1400,1400,1400,1400,1400,1400,273,0,330.0,512.6353499159557,3.118141001323238,1449.5963899971684,600.003663003663
1756678209,50,,Aggregated,28.750000,0.000000,400,850,1100,1200,1400,1400,1500,1500,1600,1600,1600,302,0,400.0,578.9528560299667,3.118141001323238,1577.3656380042667,611.3245033112582
1756678210,50,,Aggregated,29.444444,0.000000,430,940,1200,1300,1400,1500,1700,1700,1800,1800,1800,325,0,430.0,627.0752825262473,3.118141001323238,1788.090531990747,575.5661538461538
1756678211,50,,Aggregated,28.500000,0.000000,520,1100,1300,1400,1600,1700,1800,1800,1800,1800,1800,353,0,520.0,713.4759126345841,3.118141001323238,1808.4389440045925,597.3059490084986
1756678212,50,,Aggregated,28.500000,0.000000,670,1200,1400,1500,1700,1700,1800,1800,1900,1900,1900,374,0,650.0,768.3793652808853,3.118141001323238,1851.5623300045263,603.4438502673797
1756678213,50,,Aggregated,28.600000,0.000000,830,1300,1500,1600,1700,1800,1800,1800,2000,2000,2000,404,0,800.0,840.4540418937404,3.118141001323238,1953.5887689999072,612.0
1756678214,50,,Aggregated,27.800000,0.000000,930,1400,1600,1700,1700,1800,1800,1900,2000,2000,2000,427,0,930.0,885.7663779580364,3.118141001323238,1953.5887689999072,625.5105386416861
1756678215,50,,Aggregated,27.300000,0.000000,1100,1400,1600,1700,1700,1800,1800,1900,2000,2000,2000,456,0,1100.0,923.8244881251918,3.118141001323238,1953.5887689999072,624.2894736842105
1756678216,50,,Aggregated,26.400000,0.000000,1100,1400,1600,1700,1700,1800,1800,1900,2000,2000,2000,477,0,1100.0,942.7970601699402,3.118141001323238,1953.5887689999072,608.4046121593292
1756678217,50,,Aggregated,27.200000,0.000000,1300,1400,1500,1600,1700,1800,1800,1800,2000,2000,2000,501,0,1300.0,967.7156274911122,3.118141001323238,1953.5887689999072,594.4491017964071
