Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cartmanage[++],44,0,25,38.38476949981255,12.571893006679602,158.0195640126476,21.0,1.5306238222585338,0.0,27,45,51,56,70,110,160,160,160,160,160
POST,/cartmanage[--],44,0,19,29.244950613660464,11.878971999976784,161.6903469985118,21.0,1.5306238222585338,0.0,20,28,33,39,52,57,160,160,160,160,160
POST,/load,79,0,48,62.945685088759745,10.337728992453776,237.6905379933305,1355.1012658227849,2.7481654990550948,0.0,48,63,82,100,150,170,220,240,240,240,240
POST,/load[type 1],10,0,140.0,142.28690250456566,106.86841800634284,226.86604299815372,999.0,0.34786905051330314,0.0,140,140,140,150,230,230,230,230,230,230,230
POST,/load[type 2],10,0,140.0,150.29524199926527,108.9215179963503,211.3255030126311,1517.0,0.34786905051330314,0.0,150,160,160,180,210,210,210,210,210,210,210
POST,/load[type 3],10,0,140.0,138.08638039772632,86.35881100781262,170.40776899375487,1589.0,0.34786905051330314,0.0,150,160,170,170,170,170,170,170,170,170,170
POST,/login,10,0,4,3.7219601988908835,3.235923999454826,4.46534100046847,21.0,0.34786905051330314,0.0,4,4,4,4,4,4,4,4,4,4,4
POST,/order,25,0,49,56.84949588030577,13.34525301354006,191.47050200263038,21.0,0.8696726262832578,0.0,49,62,66,96,120,130,190,190,190,190,190
POST,/register,10,0,170.0,156.4958151007886,53.95471000520047,211.63799200439826,21.0,0.34786905051330314,0.0,180,190,190,200,210,210,210,210,210,210,210
POST,/update[cart add],44,0,50,63.47929813637165,12.645250011701137,194.65227199543733,21.0,1.5306238222585338,0.0,50,57,110,110,150,160,190,190,190,190,190
POST,/update[wishlist add],60,0,52,69.94495886780594,12.100970998289995,202.24569700076245,21.0,2.087214303079819,0.0,53,79,90,120,160,190,190,200,200,200,200
POST,/update[wishlist remove],60,0,41,50.56286381659447,13.234475001809187,208.45930199720897,21.0,2.087214303079819,0.0,45,53,55,57,91,180,200,210,210,210,210
,Aggregated,406,0,47,62.32038346081089,3.235923999454826,237.6905379933305,380.14778325123154,14.123483450840107,0.0,47,57,86,110,150,180,200,210,240,240,240
